2017-18;-;-;Regular Season;$tournament
;;Sidney;Girls Bracket;<bracket10><br/>{<br/>"info2":["<strong>If you see code instead of a bracket, hold down CTRL and push F5 to reload the page.</strong>"],<br/>"info":"<strong>Girls Bracket</strong>    <em><strong>Savage,Plentywood,Froid/Lake,Mondak,and Fairview</strong> advance to Divisionals!</em>",<br/>"1":["3:00 PM Tue.","Culbertson","Circle"],<br/>"2":["4:30 PM Tue.","Bainville","Mondak"],<br/>"3":["6:00 PM Tue.","Savage","Fairview"],<br/>"4":["7:30 PM Tue.","R$ANDL","Brockton"],<br/>"5":["3:00 PM Thu.","Circle","Bainville"],<br/>"6":["4:30 PM Thu.","Fairview","Brockton"],<br/>"7":["6:00 PM Thu.","Plentywood","Culbertson"],<br/>"8":["7:30 PM Thu.","R$ANDL","Froid/Lake"],<br/>"9":["12:00 PM Fri","Culbertson","Fairview"],<br/>"10":["1:30 PM Fri.","Bainville","R$ANDL"],<br/>"11":["6:00 PM Fri.","Plentywood","Mondak"],<br/>"12":["7:30 PM Fri.","Savage","Froid/Lake"],<br/>"13":["1:00 PM Sat.","Fairview","Mondak"],<br/>"14":["2:30 PM Sat.","Froid/Lake","Bainville"],<br/>"15":["6:30 PM Sat","Plentywood L","Savage W"],<br/>"16":["7:30 PM Mon.","Fairview","Bainville"]<br/>}<br/></bracket10><br/>
;;;;
2/21 - 2/24;---;Wolf Point;Divisonal Tournament (Girls);$tournament
2/22;1:30 PM;Wolf Point;[Win] Game 1 Vs. North Country;From the beginning, this game was a nebulization. After a few early hiccups, they got into their rythym and a nonstop barrage of scoring and stealing the ball resulted. At one point, the score was 23-0. The Redhawks let up a little, but that was about it for the action.<br/><br/><br/>$scoreboardButton="Girls Varsity"<br/><br/><br/><br/>Sydney Labatte: 2 points<br/>Sydney Dethman: 20 points<br/>Tawnee Robertson: 7 points<br/>Mackenzie Dethman: 19 points<br/>Haley Labatte: 4 points<br/>Morgan Mason: 10 points<br/><br/><br/>
2/22;3:00 PM;Wolf Point;[Win] Game 2 Vs. Savage;As the game got going, things were not looking good. Wide-open layups were being blown, and Savage was managing to score. At one point in the first quarter, the score was 3-8 in Savage's favor. <br/>  Throughout most of the game, the lead fluctuated back and forth, with neither team gaining a significant one. <br/>  Late in the game, the game changed. The Redhawks started making their layups, and gained a large lead. Savage started fouling, and... ...<strong>The Redhawks are probably going to STATE!!!</strong><br/><br/>7-11, 17-14, 14-10, 16-9, 54-44 final<br/><br/><br/>$scoreboardButton="Girls Varsity"<br/><br/><br/>Haley Labatte: 2 points<br/>Sydney Labatte: 7 points<br/>Sydney Dethman: 13 points<br/>Mackenzie Dethman: 19 points<br/>Tawnee Robertson: 4 points<br/>Morgan Mason: 9 points<br/>
2/24;7:00 PM;Wolf Point;[Win] CHAMPIONSHIP Vs. Plentywood;Early on, things did not look good for the Redhawks. They struggled to retain posession of the ball, and Plentywood had no trouble hitting their shots. Nevertheless, the Redhawks perservered, and the Redhawks had a onr-point lead going into halftime. In the second half, the Redhawks were unstoppable, scoring relentlessly and constantly stealing the ball.<br/><br/>I predict Savage to win the challenge game because Plentywood cracks under pressure and Savage doesn't.<br/><br/>The Redhawks also earned their first first-place divisional trophy in eight years. <strong>They have also officially made it to state!</strong><br/><br/><br/>$scoreboardButton="Girls Varsity"<br/>
;;Wolf Point;Girls Divisional Bracket;<bracket8bb><br/>{<br/>"info2":["<strong>If you see code instead of a bracket, hold down CTRL and push F5 to reload the page.</strong>"],<br/>"info":"<strong>Girls Divisional Tournament 2/21 - 2/24    Froid/Lake and Plentywood advance to state!</strong>",<br/>"1":["12:00 PM Thu.","Savage","Fairview"],<br/>"2":["1:30 PM Thu.","Froid/Lake","North Country"],<br/>"3":["6:00 PM Thu.","Scobey","Mondak"],<br/>"4":["7:30 PM Thu.","Frazer","Plentywood"],<br/>"5":["12:00 PM Fri.","Fairview","North Country"],<br/>"6":["1:30 PM Fri.","Mondak","Frazer"],<br/>"7":["3:00 PM Fri.","Savage","Froid/Lake"],<br/>"8":["4:30 PM Fri.","Scobey","Plentywood"],<br/>"9":["9:30 AM Sat.","Savage","Mondak"],<br/>"10":["11:00 AM Sat.","North Country","Scobey"],<br/>"11":["5:30 PM Sat.","Scobey W","Mondak L"],<br/>"12":["7:00 PM Sat.","Froid/Lake W","Plentywood L"],<br/>"13":["4:00 PM Mon.","No Challenge","Game"]<br/>}<br/></bracket8bb><br/>
;;;;
2/21-2/24;---;Wolf Point;Divisional Tournament(Boys);$tournament
2/21;2:30 PM;Wolf Point;[Loss] Game 1 Vs. Fairview;As this game got going, things were looking good for the Redhawks. Press breaker was working and the score was fairly close. As the first quarter came to an end, the Redhawks sat on a 2-point lead... until Fairview hit a 3-pointer in the closing seconds.<br/>  After that, everything fell apart. Turnovers occurred against the press, and Fairview built up a big lead. The rest of the game was a little better, but Fairview won by 22.<br/><br/><br/>8-9, 3-15, 9-15, 10-13, 52-30 final.<br/><br/>Javonne Nesbit: 9 points<br/>Jordan Trupe: 2 points<br/>Colt Miller: 7 points<br/>Bode Miller: 5 points<br/>Nick Eylander: 7 points<br/>
2/22;9:00 AM;Wolf Point;[Win] Game 2 Vs. Savage;This game was close until the final buzzer. The Redhakws built up a lead by halftime, and then lost it in the 4th quarter. The lead changed hands several times, and the scores were withing one point of each other as the final seconds ticked off. Savage had the ball, and Nick Moore was driving in for a layup to give Savage the lead and end the game...... until Javonne swatted him. The crowd went wild, but Savage maintained Possession. the Redhawks got the ball back with a couple of seconds left and inbounded it. They held on to the ball until the clock ran out, and won the game.<br/><br/>No stats available.
2/22;10:30 AM;Wolf Point;[Win] Game 3 Vs. Frazer;As the game got going, things did not look good for the Redhawks. Frazer had an early lead, and held on to it throughout the half. It was about to become the last game of the year for the boys.<br/>Braydon Jackson got a Technical foul, and everything changed. Frazer's shooting became ice cold, and the Redhawks got out their nebulizer. After 15 unanswered points, Frazer's 8-point lead was all but gone and the Redhawks had an eight-point one of their own.<br/>   Frazer was mad. Their carefully laid plans were going south quickly. Even slapping Colt and Javonne as they drove in (which should have been called fouls) did nothing. Frazer made a few more buckets, but the Redhawks held on and made crucial free throws despite the frazer crowd booing... and WON THE GAME!!!!!<br/><br/><br/>8-12, 13-17, 20-5, 15-18, 56-52 final<br/><br/><br/>Javonne Nesbit: 19 points<br/>Jordan Trupe: 5 points<br/>Colt Miller: 19 points<br/>Nick Eylander: 11 points<br/>Walker Ator: 4 points<br/>
2/22;6:00 PM;Wolf Point;[Loss,Final] Game 4 Vs. Mondak ;No matter which way that this one went, it was bound to be the last game of the season. The loser of this game is 4th place, and the winner is 3rd.<br/>As this game got going, Mondak built up an early 10-point lead as Jack Solberg hit a bunch of threes and Jerimiah Paine hit several jumpers. The Redhawks fought back, with Javonne Nesbit and Colt Miller hitting a bunch of shots, as well as a few from Walker Ator, Nick Eylander. Mondak held their 10-point lead throughout most of the game and ended up winning by 12.<br/><br/>I do not have stats for this game, but they weren't much different from the previous ones.
;;Wolf Point;Boys Divsional Bracket;<bracket8bb><br/>{<br/>"info2":["<strong>If you see code instead of a bracket, hold down CTRL and push F5 to reload the page.</strong>"],<br/>"info":"<strong>Boys Divisional Tournament 2/21 - 2/24     Fairview and Scobey advance to state!</strong>",<br/>"1":["2:30 PM Wed.","Fairview","Froid/Lake"],<br/>"2":["4:00 PM Wed.","Savage","North Country"],<br/>"3":["5:30 PM Wed.","Scobey","R$ANDL"],<br/>"4":["7:00 PM Wed.","Frazer","Mondak"],<br/>"5":["9:00 AM Thu.","Froid/Lake","Savage"],<br/>"6":["10:30 AM Thu.","R$ANDL","Mondak"],<br/>"7":["3:00 PM Thu.","Fairview","North Country"],<br/>"8":["4:30 PM Thu.","Scobey","Frazer"],<br/>"9":["9:00 AM Fri.","North Country","Mondak"],<br/>"10":["10:30 AM Fri.","Froid/Lake","Frazer"],<br/>"11":["6:00 PM Fri.","Froid/Lake L","Mondak W"],<br/>"12":["7:30 PM Fri.","Fairview L","Scobey W"],<br/>"13":["4:00 PM Sat.","Fairview W","Mondak L"]<br/>}<br/></bracket8bb><br/>
;;;;
3/8 - 3/10;TBA;Butte;State Tournament (Girls);$tournament expand
3/8;12:30 PM;Butte;[Win] Game 1 Vs. Harlowton;This game was a blowout from the very beginning. Our tall post players simply passed the ball over the opposing team's head and scored basket after basket. The Falcons didn't even score until the end of the first quarter, and the Redhawks held on to their large lead. I hope that the next game goes this well.<br/><br/>29-8, 16-11, 4-6, 11-14, 60-39 final<br/><br/>$scoreboardButton="Girls Varsity"<br/><br/><br/>Sydney Labatte: 4 points<br/>Sydney Dethman: 8 points<br/>Tawnee Robertson: 12 points<br/>Mackenzie Dethman: 19 points<br/>Haley Labatte: 4 points<br/>Morgan Mason: 13 points<br/>
3/9;6:30 PM;Butte;[Loss] Game 2 Vs. Box Elder;As this one got going, it looked like another blowout. The Redhawks had an early lead and were shooting extremely well from all areas of the court. The early-game Redhawk press also forced a lot of turnovers.<br/>After the first quarter, the Redhawks lost their edge. They struggled to score for long periods, and Box Elder's inside-out offense kept hitting shots. Unable to slow Box Elder's well-rounded offense, the Redhawks lost 41-54. but still have a shot at third place.<br/><br/><br/>$scoreboardButton="Girls Varsity"<br/><br/><br/>Sydney Labatte: 6 points<br/>Tawnee Robertson: 6 points<br/>Morgan Mason: 6 points<br/>Mackenzie Dethman: 11 points<br/>Haley Labatte: 5 points<br/>Sydney Dethman: 7 points<br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/>
3/10;9:30;Butte;[Win] Game 3 Vs. Ennis [LOSER OUT];The game started out as a close one, but Ennis went on a scoring run and the game was not looking good for the Redhawks. Ennis had a 21-12 lead and was scoring at will. They had been shooting threes, making them, and stopping the Redhawks. Since that game was loser-out, the Redhawks would go home immediately and get home sometime after midnight. Nevertheless, the Redhawks perservered and managed to get the deficit down to a single point at halftime. After a long battle in which the lead changed several times, the Redhawks came through and won the game. They now have a shot at 3<sup>rd</sup> or 4<sup>th</sup> place.<br/><br/>10-11, 11-11, 8-4, 8-7, 37-33 final<br/><br/>$scoreboardButton="Girls Varsity"<br/><br/>Sydney Labatte: 5 points<br/>Sidney Dethmam: 6 points<br/>Tawnee Robertson: 3 points<br/>Morgan Mason: 8 points<br/>Haley Labatte: 5 points<br/>Mackenzie Dethman: 9 points<br/><br/><br/>
3/10;6:30 PM;Butte;[Win] Game 4 Vs. Twin Bridges [Consolation];Twin Bridges scored the first point, but their lead didn't last long. With a jump-shot from Morgan Mason and a free throw from Haley Labatte, the Redhawks obtained the lead. Points were traded back and forth, and the Redhawk lead stayed between 1 and 6 points for most of the game. Led by Kailee Oliverson's 17 points and multiple shot-blocks, Twin Bridges rallied back and gained a one-point lead around halfway through the 4th quarter. Twin Bridges began fouling to get the ball back near the end, and the Redhawks converted on their free throws. 41-34 was the final score, with the Redhawks victorious.<br/><br/>The Redhawks earned a 3<sup>rd</sup> place trophy, their first state trophy in a long time.<br/><br/><br/>$scoreboardButton="Girls Varsity"<br/><br/>
---;---;Butte;Girls State Bracket;<bracket8bb><br/>{<br/>"info2":["<strong>If you see code instead of a bracket, hold down CTRL and push F5 to reload the page.</strong>"],<br/>"info":"<strong>Girls State tournament 3/8 - 3/10</strong>",<br/>"1":["12:30 PM Thu.","Froid/Lake","Harlowton"],<br/>"2":["2:00 PM Thu.","Twin Bridges","Box Elder"],<br/>"3":["6:30 PM Thu.","Ekalaka","Plentywood"],<br/>"4":["8:00 PM Thu.","Winnett-GR","Ennis"],<br/>"5":["12:30 PM Fri.","Harlowton","Twin Bridges"],<br/>"6":["2:00 PM Fri.","Ekalaka","Ennis"],<br/>"7":["6:30 PM Fri.","Froid/Lake","Box Elder"],<br/>"8":["8:00 PM Fri.","Plentywood","Winnett-GR"],<br/>"9":["9:30 AM Sat.","Froid/Lake","Ennis"],<br/>"10":["11:00 AM Sat.","Twin Bridges","Plentywood"],<br/>"11":["6:30 PM Sat.","Froid/Lake W","Twin Bridges L"],<br/>"12":["8:00 PM Sat.","Box Elder W","Winnett-GR L"]<br/>}<br/></bracket8bb><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/>
;;;;
